Year,Total years of schooling in the long run,Country1,Country2
2012,28123,Malaysia,Australia
2012,56996,Nepal,Australia
2012,3174,Norway,Australia
2012,14488,Singapore,Australia
2012,8062,Taiwan,Australia
2012,14365,Thailand,Australia
2012,6050,United Kingdom,Australia
2012,9169,United States of America,Australia
2012,39029,Vietnam,Australia
2013,20974,Bangladesh,Australia
2013,8177,Canada,Australia
2013,347153,China,Australia
2013,25418,Hong Kong,Australia
2013,43918,India,Australia
2013,28417,Indonesia,Australia
2013,5653,Japan,Australia
2013,36836,"Korea, Republic of (South)",Australia
2013,25114,Malaysia,Australia
2013,52953,Nepal,Australia
2013,2813,Norway,Australia
2013,14514,Singapore,Australia
2013,7016,Taiwan,Australia
2013,14524,Thailand,Australia
2013,5124,United Kingdom,Australia
2013,8508,United States of America,Australia
2013,39976,Vietnam,Australia
2014,22010,Bangladesh,Australia
2014,7927,Canada,Australia
2014,355532,China,Australia
2014,27082,Hong Kong,Australia
2014,65001,India,Australia
2014,28153,Indonesia,Australia
2014,5592,Japan,Australia
2014,31846,"Korea, Republic of (South)",Australia
2014,23589,Malaysia,Australia
2014,59164,Nepal,Australia
2014,2848,Norway,Australia
2014,13437,Singapore,Australia
2014,6683,Taiwan,Australia
2014,11874,Thailand,Australia
2014,5209,United Kingdom,Australia
2014,7325,United States of America,Australia
2014,42402,Vietnam,Australia
2015,25293,Bangladesh,Australia
2015,7469,Canada,Australia
2015,377203,China,Australia
2015,27255,Hong Kong,Australia
2015,91836,India,Australia
2015,27436,Indonesia,Australia
2015,5174,Japan,Australia
2015,27084,"Korea, Republic of (South)",Australia
2015,23240,Malaysia,Australia
2015,71851,Nepal,Australia
2015,2794,Norway,Australia
2015,12999,Singapore,Australia
2015,6858,Taiwan,Australia
2015,10928,Thailand,Australia
2015,5052,United Kingdom,Australia
2015,6884,United States of America,Australia
2015,43341,Vietnam,Australia
2016,27608,Bangladesh,Australia
2016,8311,Canada,Australia
2016,444370,China,Australia
2016,28360,Hong Kong,Australia
2016,120917,India,Australia
2016,28430,Indonesia,Australia
2016,5489,Japan,Australia
2016,24858,"Korea, Republic of (South)",Australia
2016,24353,Malaysia,Australia
2016,93412,Nepal,Australia
2016,2699,Norway,Australia
2016,13672,Singapore,Australia
2016,6875,Taiwan,Australia
2016,10122,Thailand,Australia
2016,5018,United Kingdom,Australia
2016,8001,United States of America,Australia
2016,46693,Vietnam,Australia
2017,31638,Bangladesh,Australia
2017,9013,Canada,Australia
2017,531389,China,Australia
2017,29340,Hong Kong,Australia
2017,154173,India,Australia
2017,30635,Indonesia,Australia
2017,5734,Japan,Australia
2017,23974,"Korea, Republic of (South)",Australia
2017,24948,Malaysia,Australia
2017,136084,Nepal,Australia
2017,2415,Norway,Australia
2017,14742,Singapore,Australia
2017,7508,Taiwan,Australia
2017,10029,Thailand,Australia
2017,4857,United Kingdom,Australia
2017,9133,United States of America,Australia
2017,53259,Vietnam,Australia
2018,36265,Bangladesh,Australia
2018,10215,Canada,Australia
2018,619007,China,Australia
2018,30253,Hong Kong,Australia
2018,199870,India,Australia
2018,32568,Indonesia,Australia
2018,6035,Japan,Australia
2018,23241,"Korea, Republic of (South)",Australia
2018,25002,Malaysia,Australia
2018,190542,Nepal,Australia
2018,2284,Norway,Australia
2018,15286,Singapore,Australia
2018,7700,Taiwan,Australia
2018,9721,Thailand,Australia
2018,4675,United Kingdom,Australia
2018,9644,United States of America,Australia
2018,57550,Vietnam,Australia
2019,38488,Bangladesh,Australia
2019,11615,Canada,Australia
2019,669740,China,Australia
2019,30628,Hong Kong,Australia
2019,248418,India,Australia
2019,35189,Indonesia,Australia
2019,5841,Japan,Australia
2019,23468,"Korea, Republic of (South)",Australia
2019,23564,Malaysia,Australia
2019,234429,Nepal,Australia
2019,2008,Norway,Australia
2019,15027,Singapore,Australia
2019,9107,Taiwan,Australia
2019,9076,Thailand,Australia
2019,4679,United Kingdom,Australia
2019,10116,United States of America,Australia
2019,59045,Vietnam,Australia
2020,36697,Bangladesh,Australia
2020,11936,Canada,Australia
2020,680530,China,Australia
2020,31829,Hong Kong,Australia
2020,237513,India,Australia
2020,36622,Indonesia,Australia
2020,5967,Japan,Australia
2020,23609,"Korea, Republic of (South)",Australia
2020,21424,Malaysia,Australia
2020,245199,Nepal,Australia
2020,1693,Norway,Australia
2020,14956,Singapore,Australia
2020,10104,Taiwan,Australia
2020,8113,Thailand,Australia
2020,4817,United Kingdom,Australia
2020,10616,United States of America,Australia
2020,56262,Vietnam,Australia
2021,13744,Bangladesh,Australia
2021,4704,Canada,Australia
2021,310933,China,Australia
2021,15086,Hong Kong,Australia
2021,83102,India,Australia
2021,15437,Indonesia,Australia
2021,2695,Japan,Australia
2021,9888,"Korea, Republic of (South)",Australia
2021,8077,Malaysia,Australia
2021,96530,Nepal,Australia
2021,582,Norway,Australia
2021,5998,Singapore,Australia
2021,4569,Taiwan,Australia
2021,2752,Thailand,Australia
2021,2203,United Kingdom,Australia
2021,4616,United States of America,Australia
2021,22257,Vietnam,Australia
